ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
81,5.2543e-05,6.48679012345679e-07,0.00027512900000000004,3.3966543209876547e-06,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 1130, 'flush')"
1,1.5010000000000001e-06,1.5010000000000001e-06,5.2167000000000004e-05,5.2167000000000004e-05,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/__init__.py', 2187, 'info')"
27,7.293e-06,2.701111111111111e-07,7.293e-06,2.701111111111111e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/process.py', 37, 'current_process')"
27,2.96e-06,1.0962962962962963e-07,2.96e-06,1.0962962962962963e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/process.py', 189, 'name')"
27,2.8792e-05,1.0663703703703704e-06,0.000280165,1.0376481481481482e-05,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/handlers.py', 189, 'shouldRollover')"
2,1.374e-06,6.87e-07,1.5410000000000002e-06,7.705000000000001e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/urllib/parse.py', 119, '_coerce_args')"
3,6.503e-06,2.1676666666666666e-06,0.000184042,6.134733333333334e-05,"('/Users/mfuller/git/github/focus_validator/focus_validator/utils/performance_logging.py', 23, 'start')"
27,9.293e-06,3.441851851851852e-07,9.293e-06,3.441851851851852e-07,"('~', 0, '<built-in method _asyncio.current_task>')"
2,6.708000000000001e-06,3.3540000000000004e-06,1.1124e-05,5.562e-06,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/urllib/parse.py', 374, 'urlparse')"
2,2.09e-07,1.045e-07,2.09e-07,1.045e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/urllib/parse.py', 108, '_noop')"
2,1.998e-06,9.99e-07,2.666e-06,1.333e-06,"('<string>', 1, '<lambda>')"
27,1.6210000000000002e-05,6.003703703703704e-07,0.000690251,2.5564851851851852e-05,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/logging/handlers.py', 71, 'emit')"
1,1.875e-06,1.875e-06,1.875e-06,1.875e-06,"('/Users/mfuller/git/github/focus_validator/focus_validator/data_loaders/csv_data_loader.py', 5, '__init__')"
250,0.000316008,1.264032e-06,0.00048520400000000004,1.940816e-06,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/numeric.py', 274, 'full')"
3034,0.00033616900000000004,1.1080059327620305e-07,0.00033616900000000004,1.1080059327620305e-07,"('/Users/mfuller/git/github/focus_validator/.venv/lib/python3.13/site-packages/numpy/core/_dtype.py', 24, '_kind_name')"
